"Well","ESP_OD_Casing_inches","Motor_Oil_Temperature","Intake_Temperature_F","Intake_Pressure_Mpa","Motor_Vibration","Current_Leakage_mA","PressureROC","Surface_Temperature"
"Well_1937A",5.5,331,333,3.03,16,3.938,2.41,234
"Well_4565AG",4.5,347,345,3.66,17.4,7.471,2.84,242
"Well_124G",5.5,309,312,11.79,17,1.186,2.73,218
"Well_4994N",4.5,484,482,11.8,15.8,3.581,1.13,346
"Well_397A",4.5,415,420,4.24,17,12.923,1.33,300
"Well_917AG",4.5,400,399,6.33,16.1,7.435,2.85,283
"Well_1014G",4.5,487,487,3.98,18.8,2.78,1.52,351
"Well_1745N",5.5,415,419,8.26,17.1,7.96,1.86,299
"Well_1934A",5.5,350,349,11.41,15.3,11.15,0.52,245
"Well_3180AG",5.5,468,465,11.32,19.1,13.058,1.3,333
"Well_3297G",5.5,389,394,9.31,15.6,2.23,1.12,280
"Well_3211N",5.5,461,458,3.15,19.3,1.306,0.56,328
"Well_2588A",7,421,421,5.82,15,15.739,2,300
"Well_3533AG",4.5,347,344,4.85,18.7,3.859,2.39,241
"Well_4362G",5.5,473,470,10.7,16.2,1.915,1.33,337
"Well_1348N",4.5,373,376,8.37,17.5,12.092,1.91,266
"Well_4465A",7,309,307,10.36,18.2,9.312,0.91,232
"Well_1760AG",4.5,374,370,11.83,16.6,7.863,2.98,277
"Well_3216G",4.5,401,401,6.1,19.1,13.268,0.11,285
"Well_1865N",7,318,316,9.82,17.7,9.836,1.1,220
"Well_3192A",7,353,351,6.19,15.4,3.727,1.17,247
"Well_3524AG",4.5,385,385,8.15,18.7,0.807,0.82,273
"Well_2012G",4.5,471,476,4.02,16.7,10.327,1.87,343
"Well_4262N",5.5,322,325,8.75,15.5,14.886,1.61,228
"Well_1996A",7,364,360,4.85,18.5,3.35,1.21,253
"Well_4570AG",4.5,452,456,4.37,17,11.538,1.12,344
"Well_360G",5.5,346,351,9.3,17.2,6.364,2.97,248
"Well_4253N",4.5,299,301,11.8,15.2,8.035,0.29,210
"Well_4709A",4.5,441,444,5.7,18.9,5.465,1.71,318
"Well_4992AG",4.5,363,366,6.7,18,1.197,2.35,259
"Well_625G",7,438,434,10.72,15.2,15.83,0.05,309
"Well_3217N",7,307,306,10.56,19.5,0.136,0.86,213
"Well_2008A",5.5,377,376,5.59,17.6,10.292,2.63,266
"Well_2450AG",5.5,352,351,6.35,17.5,1.562,2.04,247
"Well_4906G",4.5,501,498,7.42,16.9,3.154,2.32,359
"Well_4776N",4.5,441,439,11.36,16.8,2.625,1.93,313
"Well_1292A",5.5,325,327,3.66,18.9,5.589,0.23,229
"Well_4480AG",4.5,381,376,5.94,19.7,11.842,0.94,265
"Well_3787G",4.5,375,377,9.5,15.6,13.928,2.73,267
"Well_2791N",7,357,353,8.58,17.9,12.395,2.68,248
"Well_4896A",5.5,449,446,7.68,17.2,12.308,0.05,319
"Well_3238AG",7,344,339,7.95,15.5,15.418,1.68,237
"Well_2981G",7,367,362,10.83,17.1,2.488,2.75,254
"Well_1615N",5.5,471,466,7.72,15.6,13.284,0.24,334
"Well_4679A",4.5,469,470,10.23,18.3,7.513,1.41,338
"Well_4041AG",5.5,494,498,7.86,16.7,13.066,0.84,360
"Well_2800G",5.5,354,353,3.3,16.5,11.913,0.33,248
"Well_4430N",5.5,362,364,8.82,15.4,13.195,2.7,257
"Well_1661A",4.5,415,411,4.91,17.8,4.62,1.62,310
"Well_3354AG",4.5,321,317,10.09,15.3,10.37,2.18,221
"Well_827G",4.5,318,318,11.43,18.7,4.679,2.9,241
"Well_731N",4.5,448,448,3.13,16,4.613,2.19,321
"Well_2196A",4.5,387,391,10.95,19.3,0.114,0.38,278
"Well_1310AG",4.5,415,415,8.29,17.7,8.223,2.51,295
"Well_2519G",5.5,482,483,6.41,15.1,9.094,1.11,348
"Well_4855N",4.5,460,460,10.52,19.7,10.83,2.63,330
"Well_1717A",4.5,416,411,4.97,18.2,7.562,2.54,292
"Well_2260AG",4.5,341,337,10.53,18.9,6.51,2.89,236
"Well_546G",7,313,308,11.04,19,10.51,1.42,214
"Well_1493N",4.5,452,447,8.44,19.8,0.496,2.67,319
"Well_2398A",4.5,351,347,10.29,18.5,11.502,1.99,243
"Well_1306AG",4.5,368,364,6.87,19,5.379,2.74,256
"Well_2492G",4.5,393,392,7.39,18.6,7.337,1.41,278
"Well_2185N",7,434,433,9.35,17.6,12.325,1.67,309
"Well_4681A",4.5,333,331,4.45,17.2,7.988,2.69,232
"Well_154AG",4.5,317,320,10.84,15.2,10.399,2.15,224
"Well_2532G",4.5,466,464,8.71,15.6,13.181,2.18,333
"Well_892N",4.5,447,442,4.1,16.4,13.726,2.06,315
"Well_4394A",4.5,395,398,11.92,19.8,8.531,1.18,283
"Well_2408AG",7,359,357,7.58,16.1,1.914,2.34,251
"Well_1755G",4.5,409,414,11.8,15,12.549,1.48,295
"Well_4429N",4.5,324,329,10.11,16.6,2.662,0.07,231
"Well_894A",4.5,458,454,3.82,15,12.315,1.54,325
"Well_4971AG",4.5,429,432,4.24,15,3.527,0.25,309
"Well_1384G",5.5,313,309,9.66,17.9,3.249,2.27,215
"Well_373N",4.5,332,335,7.41,19,3.847,2.12,235
"Well_3093A",4.5,333,328,7.16,18.7,10.941,2.68,229
"Well_3325AG",5.5,493,494,3.93,18.2,1.769,1.77,356
"Well_3921G",7,340,339,9.14,15.5,10.627,2.83,238
"Well_35N",4.5,439,438,10.44,16.9,0.249,1.88,313
"Well_4317A",5.5,468,473,11.35,17.5,2.187,0.04,340
"Well_4598AG",5.5,416,418,9.3,16,7.162,1.58,298
"Well_119G",5.5,364,364,8.36,19,8.862,0.19,257
"Well_694N",7,472,474,11.59,15.9,6.236,0.31,341
"Well_3181A",4.5,370,375,6.17,15.1,5.109,1.88,266
"Well_95AG",4.5,399,398,5.86,20,0.761,0.69,282
"Well_4056G",5.5,495,496,9.87,17.6,11.248,1.27,358
"Well_2297N",4.5,316,317,9.79,18.2,10.577,2.14,240
"Well_4593A",4.5,320,318,9.93,18.3,13.726,2.82,222
"Well_2152AG",4.5,467,469,5.72,17.2,15.643,0.32,337
"Well_4173G",4.5,456,454,6.61,18,10.006,2.48,343
"Well_4029N",5.5,436,435,8.33,16.5,4.588,1.6,311
"Well_292A",4.5,472,473,4.75,15.8,3.58,2.3,340
"Well_3649AG",4.5,440,442,8.35,15.6,1.673,2.58,316
"Well_4789G",7,448,453,3.16,17.3,5.953,1.78,325
"Well_417N",5.5,361,357,8.31,19.2,5.096,0.66,251
"Well_4546A",4.5,317,317,8.81,15.5,13.915,0.77,221
"Well_2133AG",5.5,374,369,6.94,18.2,11.677,2.22,260
"Well_1655G",7,400,400,5.62,15.6,13.371,1.26,284
"Well_4529N",4.5,503,500,8.07,18.4,10.004,1.27,360
"Well_1623A",4.5,432,433,3.6,19.6,11.397,2.12,309
"Well_2058AG",4.5,310,308,4.61,15.9,10.073,2.83,214
"Well_123G",5.5,488,493,9.22,15.3,3.818,0.5,356
"Well_1576N",4.5,325,328,4.81,17.1,9.003,0.26,230
"Well_858A",7,394,392,9.23,16.6,3.056,1.69,278
"Well_633AG",7,422,417,11.68,17.2,5.516,2.97,296
"Well_1821G",4.5,362,364,5.78,17.7,2.896,0.35,257
"Well_3521N",5.5,484,488,7.84,18.7,4.064,1.82,352
"Well_3389A",4.5,313,311,5.88,15,15.013,0.37,216
"Well_4178AG",4.5,376,378,11.54,17.7,14.762,1.69,268
"Well_1727G",4.5,441,436,5.98,16.1,13.651,0.56,327
"Well_2978N",5.5,326,329,11.25,19.8,7.228,0.12,231
"Well_1441A",4.5,397,402,8.54,17.9,8.384,0.14,286
"Well_3876AG",4.5,320,322,4.73,17.3,14.999,1.49,225
"Well_4728G",4.5,469,464,11.33,19.6,15.199,2.33,332
"Well_3943N",4.5,405,404,7.02,18.2,13.087,0.71,287
"Well_2682A",4.5,498,499,8.44,15.3,9.455,2.28,360
"Well_2910AG",5.5,308,308,4.93,16.1,9.252,0.91,215
"Well_1512G",4.5,312,314,3.54,16.8,10.235,0.97,219
"Well_2517N",4.5,395,391,3.05,15.9,14.077,2.78,277
"Well_2020A",4.5,381,378,10.34,15.9,8.239,1.01,267
"Well_820AG",4.5,459,462,9.83,17,0.348,1.42,332
"Well_4426G",4.5,463,458,4.07,15.1,2.339,0.98,328
"Well_4403N",4.5,440,442,5.39,18.4,9.247,0.78,316
"Well_4206A",4.5,470,469,10.04,17.6,11.011,2.83,337
"Well_2940AG",4.5,351,351,7.77,16,1.724,2.1,247
"Well_3091G",5.5,365,364,3.11,17.3,13.8,0.12,257
"Well_2781N",4.5,361,363,4.04,19.5,9.407,1.6,276
"Well_1748A",4.5,339,342,11.09,15.2,5.058,1.57,241
"Well_1095AG",4.5,478,483,7.53,18.1,7.864,2.2,348
"Well_2156G",4.5,304,300,5.96,17.5,8.727,0,208
"Well_3305N",4.5,477,481,8.24,18.7,6.333,1.46,346
"Well_4277A",5.5,480,483,8.39,15.4,6.053,0.66,348
"Well_2262AG",5.5,428,430,9.31,15.1,11.202,1.75,307
"Well_973G",4.5,446,445,8.5,15.1,9.463,0.77,318
"Well_4075N",7,414,413,9.88,19.8,13.006,2.36,294
"Well_1999A",5.5,347,345,10.74,16.2,11.409,1.29,242
"Well_1171AG",5.5,447,451,5.76,16.6,15.352,0.09,340
"Well_1116G",4.5,409,414,7.3,17.6,0.463,1.97,295
"Well_4651N",5.5,496,500,5.43,15.7,6.848,1.4,361
"Well_895A",4.5,417,420,4.9,15.4,9.654,1.78,300
"Well_4978AG",4.5,413,412,3.27,15.4,2.824,0.99,293
"Well_3425G",4.5,424,428,10.61,16.7,6.067,2.69,306
"Well_3745N",4.5,335,337,7.78,15.3,6.232,1.1,237
"Well_1181A",5.5,433,432,5.89,15.8,1.149,0.56,308
"Well_2065AG",4.5,387,385,4.38,19.7,1.895,0.61,292
"Well_2352G",4.5,427,429,4.21,16.5,12.333,1.68,306
"Well_27N",7,350,351,8.12,19.9,12.575,0.89,247
"Well_444A",4.5,301,306,9.76,16,6.589,2.05,214
"Well_2079AG",5.5,450,451,3.05,19.9,14.047,2.45,323
"Well_2400G",5.5,378,378,9.8,19.5,7.911,1.02,267
"Well_4499N",4.5,346,346,5.84,16.5,6.903,2.01,243
"Well_2861A",5.5,372,377,10.79,16.4,0.526,0.72,267
"Well_3105AG",4.5,388,390,3.22,16.5,5.539,0.43,293
"Well_3413G",4.5,360,355,10.55,18.1,12.471,1.75,249
"Well_4951N",5.5,325,325,3.61,17.1,7.632,0.69,244
"Well_3681A",4.5,408,407,11.4,15.9,0.634,0.6,289
"Well_2998AG",4.5,417,420,11.91,15.4,6.64,1.94,300
"Well_2564G",4.5,393,396,10.88,16.4,11.52,2.6,281
"Well_158N",5.5,303,303,5,17.2,8.555,0.18,211
"Well_3724A",5.5,352,355,5.31,17.5,4.761,0.65,268
"Well_2827AG",4.5,483,486,11.54,19,8.489,0.52,350
"Well_3531G",4.5,347,351,8.97,17.4,9.034,1.4,247
"Well_2996N",4.5,315,315,8.57,18.5,12.235,1.64,220
"Well_3092A",5.5,427,423,6.87,18.4,12.05,2.42,301
"Well_1254AG",4.5,376,378,5.23,19.6,12.505,1.88,268
"Well_1258G",4.5,447,449,8.67,15.5,6.491,2.16,322
"Well_4649N",4.5,329,326,3.53,16.9,9.914,1.27,228
"Well_4795A",4.5,465,461,3.62,17.8,5.296,0.28,330
"Well_1055AG",4.5,348,346,8.35,18.9,14.003,1.47,243
"Well_773G",5.5,363,366,7.85,17.5,3.117,0.34,259
"Well_4311N",5.5,357,354,3.85,17.4,5.972,1.77,249
"Well_1608A",4.5,417,418,4.91,16.9,0.022,2.51,298
"Well_1875AG",5.5,401,404,9.27,16.7,6.72,0.6,287
"Well_3983G",4.5,408,409,6.23,18,3.264,2.12,291
"Well_843N",4.5,337,335,4.02,18.7,4.377,1.36,235
"Well_1580A",7,447,450,3.26,17.9,7.297,2.44,323
"Well_4225AG",4.5,317,314,8.83,18.8,4.615,2.61,219
"Well_4010G",5.5,337,335,4.68,18.3,0.694,1.5,235
"Well_252N",4.5,485,483,6.29,19.8,15.637,2.65,347
"Well_4496A",4.5,370,370,8.46,18,15.158,0.63,261
"Well_2914AG",4.5,339,340,5.05,16.6,14.464,1.34,239
"Well_1057G",4.5,310,314,4.61,17,14.401,1.45,220
"Well_4474N",4.5,387,388,6.09,18.9,4.108,1.76,275
"Well_4786A",4.5,306,311,10.43,16.4,9.754,2.98,218
"Well_2870AG",4.5,312,317,4.96,16.5,13.389,2,222
"Well_3991G",5.5,488,492,6.21,17.4,13.467,1.2,355
"Well_544N",7,463,467,8.63,17.1,2.871,1.8,336
"Well_4131A",4.5,350,353,5.89,15.4,0.694,1.33,264
"Well_2154AG",4.5,369,365,8.59,15.9,15.886,0.79,257
"Well_4956G",5.5,372,367,9.61,16.1,15.862,0.62,258
"Well_784N",4.5,479,482,3.57,17.6,13.753,2.74,347
"Well_342A",5.5,362,365,8.08,17.5,5.512,2.35,258
"Well_293AG",4.5,455,454,11.93,18.2,13.301,0.57,325
"Well_1646G",5.5,334,332,10.94,19.2,12.726,2.16,251
"Well_2652N",7,352,354,9.18,15,12.408,1.17,264
"Well_3166A",4.5,429,432,5.36,18.2,12.762,0.3,327
"Well_2442AG",4.5,353,350,8.39,18,7.925,2.89,246
"Well_3588G",4.5,453,448,7.42,15.7,5.602,1.5,336
"Well_2589N",4.5,489,487,9.73,18,0.664,2.36,350
"Well_4550A",4.5,318,320,3.89,17.3,1.248,2.77,224
"Well_3366AG",4.5,349,352,8.75,18,14.693,1.99,248
"Well_319G",4.5,345,342,4.06,16.9,15.386,1.46,240
"Well_985N",5.5,461,462,9.99,19.5,0.63,0.34,332
"Well_1711A",7,404,409,10.67,17.3,3.903,0.6,309
"Well_70AG",5.5,306,309,11.94,19.2,12.246,0.03,216
"Well_3691G",4.5,488,487,10.25,17,15.331,1.31,350
"Well_4292N",4.5,327,329,10.37,19.9,15.595,0.98,231
"Well_2014A",5.5,372,368,8.83,17.4,11.354,2.34,259
"Well_3154AG",5.5,426,429,5.44,15.3,12.828,0.99,307
"Well_471G",4.5,404,408,3.57,19.9,7.88,0.03,291
"Well_1382N",4.5,405,402,3.84,15.7,3.998,0.83,285
"Well_2373A",4.5,383,387,6.21,15.4,6.762,2.94,275
"Well_347AG",5.5,483,485,9.51,19.7,13.806,0.83,349
"Well_3470G",4.5,339,342,3.38,19.8,4.729,0.29,241
"Well_2245N",4.5,452,453,8,15.3,4.758,2.59,325
"Well_3643A",4.5,364,369,7.64,17.2,12.307,2.45,261
"Well_3213AG",4.5,354,353,6.75,16.4,3.516,0.32,265
"Well_3721G",4.5,317,318,5.63,19.2,5.134,0.87,222
"Well_4641N",4.5,502,498,6.76,19.7,4.251,1.34,359
"Well_793A",4.5,451,453,8.43,17.5,15.426,1.25,325
"Well_4699AG",4.5,441,439,8.86,16.4,15.311,2.82,313
"Well_1683G",4.5,337,338,10.59,16.8,15.565,2.73,237
"Well_2236N",4.5,490,491,4.51,17,6.47,1.43,354
"Well_1771A",4.5,363,359,10.98,15.1,14.086,1.38,252
"Well_1308AG",4.5,325,328,5.75,15.8,4.755,1.13,230
"Well_2744G",7,495,495,9.93,15.6,13.132,2.2,357
"Well_3793N",4.5,360,359,3.16,15.8,0.113,0.75,253
"Well_1825A",7,305,309,9.62,16.6,3.592,2.57,216
"Well_4553AG",7,413,416,5.24,16.5,9.817,1.15,297
"Well_4925G",4.5,336,338,10.67,15.4,13.884,0.23,237
"Well_1133N",4.5,311,316,6.03,18.4,15.237,2.19,221
"Well_3599A",7,363,360,3.23,19.6,3.051,1.35,253
"Well_1337AG",4.5,361,361,11.22,15.1,9.858,2.48,254
"Well_936G",4.5,428,431,4.38,17.4,0.639,1.15,308
"Well_4442N",4.5,477,477,7.1,15.4,1.669,0.58,343
"Well_4012A",4.5,425,427,8.02,16.8,7.463,2.06,305
"Well_1260AG",5.5,444,442,10.53,17.4,4.793,2.36,316
"Well_2241G",4.5,336,333,3.96,15.8,2.949,1.24,233
"Well_3811N",4.5,312,308,6.37,15.3,11.192,0.61,214
"Well_3695A",4.5,342,339,8.1,17,1.073,0.76,237
"Well_1726AG",4.5,366,365,3.7,16,9.494,1.96,257
"Well_4322G",5.5,496,495,10.06,15.7,0.228,2.24,357
"Well_3326N",4.5,389,394,3.9,18.5,6.746,2.47,280
"Well_4367A",4.5,444,444,9.74,18.2,1.139,2.63,318
"Well_886AG",4.5,440,441,6.09,19.2,12.013,2.41,335
"Well_4414G",4.5,446,448,11.26,18.3,12.46,1.18,339
"Well_2814N",5.5,364,360,6.37,19.7,11.921,1.27,273
"Well_3925A",4.5,354,355,8.32,16.7,8.707,0.97,267
"Well_4905AG",4.5,334,332,9.18,16.5,13.719,0.58,232
"Well_4272G",5.5,336,331,7.65,15.5,0.374,2.97,231
"Well_305N",4.5,416,412,4.71,19.2,7.085,2.54,293
"Well_1762A",4.5,362,364,3.48,16.4,2.706,0.87,257
"Well_4294AG",4.5,417,418,3.33,20,2.843,1.15,298
"Well_4312G",4.5,330,335,8.25,15.6,2.263,2.35,236
"Well_4035N",4.5,450,451,3.89,16.6,14.275,2.81,323
"Well_2286A",7,380,385,8.65,18,5.789,0.73,273
"Well_3464AG",4.5,312,309,11.53,18.1,9.03,0.58,215
"Well_1231G",5.5,421,422,4.43,15.2,4.132,1.36,301
"Well_740N",4.5,395,397,6.89,17.9,14.004,2.27,282
"Well_4192A",4.5,423,422,9.15,19.8,13.991,0.47,301
"Well_2488AG",4.5,348,351,6.24,17.7,10.571,2.31,247
"Well_1117G",4.5,360,361,3.35,15.5,15.144,0.97,255
"Well_512N",4.5,432,435,3.44,17.2,9.266,1.22,311
"Well_1994A",4.5,492,489,7.03,16,5.202,1.91,352
"Well_4468AG",4.5,372,369,8.57,17.4,9.863,2.73,260
"Well_1478G",4.5,340,340,3.85,15.1,10.326,1.52,239
"Well_4775N",4.5,408,412,7.52,16,15.614,0.71,294
"Well_1034A",4.5,432,431,6.87,18.6,6.592,1.61,308
"Well_4713AG",5.5,331,336,10.06,19.2,5.33,1.03,236
"Well_3940G",4.5,425,423,11.29,19.1,10.432,2.64,301
"Well_1469N",4.5,450,447,11.05,15.7,5.476,1.73,319
"Well_3408A",5.5,346,343,9.93,17.7,7.549,1.49,240
"Well_1880AG",4.5,483,480,8.52,18.1,8.417,2.03,345
"Well_2174G",4.5,437,440,3.19,19,10.501,1.02,315
"Well_3917N",4.5,447,445,7.08,19,15.144,0.65,318
"Well_593A",5.5,386,384,8.59,18.4,9.694,1.11,290
"Well_84AG",4.5,392,391,3.08,18.8,9.987,2.67,277
"Well_4250G",4.5,438,436,9.91,19.1,1.563,1.84,311
"Well_2401N",4.5,305,303,4.56,16.9,10.588,0.74,210
"Well_2431A",4.5,461,459,3.73,18.7,15.388,1.24,329
"Well_1124AG",4.5,448,449,3.42,18.5,6.549,1.35,322
"Well_1058G",4.5,354,353,4.24,19.4,14.456,2.02,248
"Well_2334N",7,484,488,7.15,15.2,11.863,1.98,352
"Well_3688A",4.5,491,488,3.51,18.2,13.867,0.01,351
"Well_1923AG",5.5,409,407,7.31,15.3,6.569,0.66,289
"Well_4164G",4.5,368,367,3.17,16.9,12.252,0.73,259
"Well_2988N",4.5,378,382,5.65,15.4,12.382,0.1,271
"Well_1950A",4.5,441,441,6.41,19,14.501,0.26,334
"Well_4620AG",7,482,479,9.25,19.7,9.855,0.8,344
"Well_3500G",4.5,356,354,3.89,18.3,11.72,2.68,267
"Well_4513N",7,367,362,9.26,16.6,0.847,2.17,254
"Well_4054A",4.5,407,408,7.73,19,11.105,0.04,290
"Well_1379AG",4.5,378,378,9.8,19.1,11.357,1.57,267
"Well_4417G",4.5,318,315,3.2,15.8,5.39,2.71,219
"Well_1752N",4.5,347,344,3.6,19.7,9.247,1.07,261
"Well_2422A",5.5,371,366,3.47,20,7.429,2.02,258
"Well_3652AG",4.5,386,387,11.01,15.3,6.131,1.43,274
"Well_601G",4.5,387,386,8.54,15.8,11.189,2.57,273
"Well_399N",5.5,319,319,3.52,17.5,12.653,3,223
"Well_2771A",7,360,364,7.74,15.1,1.797,2.3,257
"Well_557AG",4.5,486,481,10.47,16.9,10.129,2.66,345
"Well_1129G",4.5,426,423,5.28,17.6,6.508,0.97,301
"Well_4938N",4.5,484,484,10.07,15.5,14.163,0.16,348
"Well_1642A",7,481,477,11,19.3,1.943,0.56,342
"Well_2946AG",4.5,301,306,11.21,18.3,12.211,1.79,214
"Well_3868G",4.5,434,431,4.64,17.6,15.063,0.5,307
"Well_4851N",4.5,471,475,10.03,16.8,0.914,0.85,342
"Well_3449A",4.5,465,466,9.03,19.4,14.061,1.46,335
"Well_3435AG",5.5,304,304,7.85,19.3,7.959,2.08,212
"Well_2555G",4.5,320,324,7.99,15.9,5.156,0.81,227
"Well_4856N",4.5,369,373,3.66,16.9,2.745,1.78,281
"Well_2975A",4.5,360,360,11.94,15.1,13.606,2.81,254
"Well_2768AG",5.5,377,374,7.32,16.4,1.048,2.26,264
"Well_2795G",5.5,461,456,7.91,16,11.8,2.54,326
"Well_1400N",7,343,340,8.98,18.9,11.304,1.1,238
"Well_1739A",4.5,449,447,9.45,15,5.158,2.49,320
"Well_1618AG",5.5,457,460,9.68,15.6,2.269,0.4,330
"Well_1738G",4.5,420,420,3.93,16.1,4.063,0.34,315
"Well_1568N",7,304,305,6.09,19.5,9.137,2.17,232
"Well_486A",4.5,367,370,4.08,16.9,12.347,1.78,262
"Well_4199AG",5.5,380,385,11.08,16.1,1.294,0.68,273
"Well_54G",5.5,500,500,4.02,15.6,10.584,0.22,361
"Well_1851N",4.5,395,390,9.09,16.6,7.987,1.77,276
"Well_2562A",5.5,488,493,9.4,18.8,2.524,0.35,356
"Well_3985AG",4.5,453,449,11.04,17.5,0.307,1.46,321
"Well_2009G",4.5,429,432,7.32,19.1,14.109,2.42,309
"Well_979N",4.5,306,301,4.25,18.5,3.788,2.45,209
"Well_2891A",4.5,476,474,4.11,17.5,13.298,0.12,340
"Well_3352AG",5.5,410,411,9.86,19.6,3.301,1.28,312
"Well_4731G",4.5,429,432,9.49,20,11.325,0.99,309
"Well_1482N",4.5,401,401,10.14,19.5,9.179,2.31,285
"Well_993A",4.5,389,384,10.88,16.9,10.298,2.88,271
"Well_253AG",4.5,484,481,10.13,17.7,4.69,0.24,346
"Well_2985G",4.5,380,384,10.6,15.9,13.143,0.58,272
"Well_946N",4.5,337,335,11.56,17.7,4.909,1.52,235
"Well_768A",4.5,437,438,7.35,17.5,1.681,1.17,313
"Well_824AG",5.5,470,465,7.61,18.4,13.417,0.34,333
"Well_2115G",5.5,378,375,11.29,20,5.109,0.41,265
"Well_3492N",5.5,398,401,6.22,18.3,4.84,1.87,304
"Well_1380A",4.5,420,418,5.18,15,4.331,2.65,297
"Well_1276AG",5.5,342,344,7.47,16.4,15.708,2.5,258
"Well_3962G",4.5,424,424,6.92,17.4,0.748,2.41,302
"Well_3407N",4.5,349,353,7.32,19.1,14.032,1.23,249
"Well_3131A",4.5,374,376,3.33,15,14.863,1.45,266
"Well_1616AG",5.5,357,354,8.19,17.8,8.239,1.88,249
"Well_2395G",5.5,431,436,9.69,19.5,11.614,2.9,312
"Well_2023N",5.5,352,348,11.72,16.4,1.253,1.47,244
"Well_2051A",5.5,341,338,11.93,19.5,4.499,2.63,237
"Well_3540AG",7,305,305,5.37,15.1,7.244,1.34,227
"Well_4219G",4.5,439,437,9.52,19.2,5.377,2.26,312
"Well_1862N",4.5,377,382,3.82,19.8,11.966,1.12,271
"Well_2208A",4.5,469,473,4.61,16.9,3.033,2.3,340
"Well_955AG",5.5,403,406,5.12,17,1.496,2.69,289
"Well_1756G",4.5,368,370,10.1,17,8.37,0.03,262
"Well_1247N",5.5,490,487,5.83,17.3,10.635,2.78,367
"Well_1000A",4.5,353,352,11.26,17.9,13.739,0.98,247
"Well_2752AG",4.5,491,489,5.56,18.7,4.429,1.99,352
"Well_1600G",4.5,365,368,3.91,19.8,15.157,2.09,260
"Well_4740N",7,387,387,3.46,17.1,1.391,1.15,274
"Well_2043A",4.5,305,306,6.27,18.8,11.617,0.91,232
"Well_4827AG",4.5,388,385,9.72,17.2,15.702,2.19,272
"Well_2493G",5.5,427,426,9.69,16.1,9.165,0.02,304
"Well_2365N",4.5,335,340,6.1,18.1,14.071,0.22,239
"Well_1993A",4.5,324,325,4.98,16.5,14.111,0.28,227
"Well_19AG",5.5,426,423,9.26,17.5,0.947,1.51,301
"Well_4504G",4.5,386,381,9.18,18,10.352,0.31,269
"Well_4070N",5.5,366,368,8.87,19,11.526,0.68,260
"Well_4089A",4.5,375,379,9.01,15.9,14.055,2.94,269
"Well_1027AG",5.5,374,369,11.96,19.3,14.36,2.16,260
"Well_2835G",4.5,415,414,7.97,18,4.073,2.94,295
"Well_4343N",4.5,429,427,6.13,20,5.341,1.23,304
"Well_207A",7,368,370,10.53,18.4,2.27,1.31,262
"Well_3982AG",4.5,423,426,10.69,16.7,13.157,2.07,304
"Well_2295G",5.5,465,462,7.35,15.4,15.705,0.67,331
"Well_4451N",5.5,376,373,9.37,16.3,1.093,2,263
"Well_3456A",4.5,308,310,9.35,17.2,4.205,1.78,216
"Well_3436AG",4.5,348,349,9.08,15.9,11.82,2.8,246
"Well_3773G",5.5,405,405,5.18,19.5,12.567,1.57,288
"Well_697N",4.5,373,372,4.27,17.8,4.429,2.44,280
"Well_1989A",4.5,352,349,11.07,17,6.272,2.23,245
"Well_3041AG",7,441,442,3.11,16.8,12.894,0.71,316
"Well_1604G",4.5,341,341,4.99,15.2,9.573,1.64,255
"Well_837N",4.5,352,350,11.94,15.2,5.822,0.37,246
"Well_2999A",5.5,387,385,4.67,18.5,10.492,2.35,272
"Well_2648AG",4.5,310,306,8.03,16.4,0.194,1.69,212
"Well_3265G",7,469,474,5.97,18.9,12.487,0.63,341
"Well_3782N",4.5,375,373,11.05,19.1,4.592,2.92,282
"Well_1897A",4.5,337,333,9.68,20,6.997,1.36,253
"Well_4540AG",4.5,365,361,8.25,16.3,8.662,2.67,254
"Well_3453G",4.5,321,325,6.78,15.2,2.879,0.08,228
"Well_595N",5.5,401,400,7.06,18.1,2.52,0.29,284
"Well_2138A",4.5,450,448,5.32,18.3,11.458,0.34,339
"Well_3865AG",5.5,303,306,7.32,16.7,11.877,0.95,213
"Well_4712G",4.5,385,390,10.39,16.1,6.723,1.1,277
"Well_3932N",4.5,435,431,9.66,15.3,10.021,0.13,307
"Well_3964A",5.5,374,374,6.99,15.8,4.631,1.65,264
"Well_2272AG",5.5,390,391,4.83,17.6,4.801,0.14,277
"Well_2006G",5.5,386,387,9.9,16.8,15.279,1.06,274
"Well_4850N",4.5,493,492,3.5,18.9,3.497,1.6,354
"Well_3830A",4.5,424,428,10.97,18,4.989,1.02,306
"Well_2672AG",5.5,356,361,11.75,16.1,4.895,0.42,255
"Well_1300G",4.5,409,405,9.28,16.7,11.716,1.93,287
"Well_2412N",4.5,366,363,8.24,18.9,11.29,0.2,256
"Well_1629A",4.5,454,456,3.98,16.3,13.317,1.97,327
"Well_2205AG",5.5,338,340,9.65,16.4,7.395,0.64,239
"Well_3891G",4.5,434,439,8.03,16.6,1.447,2.39,314
"Well_4252N",4.5,372,367,6.73,16.3,9.61,2.95,258
"Well_2566A",4.5,437,432,5.02,16.1,0.693,0.55,308
"Well_1949AG",5.5,300,302,11.49,17.8,15.108,1.84,210
"Well_4399G",5.5,474,477,8.74,19.8,10.876,2.38,343
"Well_913N",5.5,439,434,10.16,19.9,0.457,0.38,309
"Well_1176A",4.5,471,470,11.55,18.9,0.298,1.17,337
"Well_3957AG",4.5,456,461,4.38,15,4.987,0.01,331
